,YearMonth,Tonnes
1038,202410.0,0.36
1039,202410.0,0.27
1040,202410.0,0.54
1041,202410.0,1.206
1042,202410.0,0.1392
1043,202410.0,0.0432
1044,202410.0,0.0432
1045,202410.0,0.2152
1046,202410.0,0.123
1047,202410.0,0.09079999999999999
1048,202410.0,0.09079999999999999
1049,202410.0,
1050,202410.0,2.184
1051,202410.0,2.142
1052,202410.0,0.032
1053,202410.0,2.3187999999999995
1054,202410.0,0.032
1055,202410.0,0.036
1056,202410.0,0.384
1057,202410.0,
1058,202410.0,0.0616
1059,202410.0,0.0246
1060,202410.0,0.15239999999999998
1061,202410.0,0.054
1062,202410.0,
1063,202410.0,0.20279999999999998
1064,202410.0,
1065,202410.0,
1066,202410.0,0.312
1067,202410.0,0.266
1068,202410.0,0.038
1069,202410.0,0.054
1070,202410.0,0.7152000000000001
1071,202410.0,0.332
1072,202410.0,0.09839999999999999
1073,202410.0,0.2874
1074,202410.0,0.2724
1075,202410.0,0.2724
1076,202410.0,0.2628
1077,202410.0,
1078,202410.0,0.0348
1079,202410.0,0.1398
1080,202410.0,0.1864
1081,202410.0,0.108
1082,202410.0,0.09720000000000001
1083,202410.0,0.5032000000000001
1084,202410.0,0.0464
1085,202410.0,1.4212
1086,202410.0,0.064
1087,202410.0,0.064
1088,202410.0,0.032
1089,202410.0,2.3187999999999995
1090,202410.0,0.032
1091,202410.0,0.36
1092,202410.0,0.16
1093,202410.0,0.08
1094,202410.0,0.12
1095,202410.0,0.054
1096,202410.0,0.054
1097,202410.0,
1098,202410.0,
1099,202410.0,0.48
1100,202410.0,0.1376
1101,202410.0,0.88
1102,202410.0,0.484
1103,202410.0,1.016
1104,202410.0,0.4572
1105,202410.0,0.492
1106,202411.0,0.22
1107,202411.0,0.232
1108,202411.0,0.986
1109,202411.0,0.868
1110,202411.0,0.027800000000000002
1111,202410.0,0.054
1112,202410.0,0.054
1113,202410.0,0.054
1114,202410.0,0.054
1115,202410.0,0.054
1116,202410.0,0.054
1117,202410.0,0.054
1118,202410.0,0.054
1119,202410.0,0.054
1120,202410.0,0.045
1121,202410.0,0.03
1122,202410.0,0.42
1123,202410.0,0.8
1124,202411.0,
1125,202411.0,
1126,202411.0,0.09079999999999999
1127,202411.0,0.045399999999999996
1128,202411.0,0.224
1129,202411.0,0.364
1130,202411.0,0.2724
1131,202501.0,0.345
1132,202501.0,0.13889999999999997
1133,202501.0,
1134,202501.0,
1135,202411.0,0.123
1136,202411.0,0.054
1137,202411.0,0.432
1138,202411.0,0.32409999999999994
1139,202411.0,0.18519999999999998
1140,202411.0,0.2315
